問題,答え,読み,最終確認日
「鼠径」「大腿」「椎間板」などの種類がある、体内の臓器などが本来あるべき位置から突出した状態のことを、ラテン語で「飛び出す」という意味の言葉で何というでしょう？,ヘルニア,ヘルニア,2020/07/03
1895年に「ヒトの心電図の形」を発表し、1924年には「心電図法の発見」の功績によりノーベル生理学・医学賞を受賞したオランダの生理学者は誰でしょう？,ウィレム・アイントホーフェン,アイントホーフェン,2020/07/03
1980年代にモトローラ社の技術者ビル・スミスによって開発された、100万回の作業を実施しても不良品の発生率を3.4回に抑えるという品質管理手法を何というでしょう？,シックス・シグマ,シックスシグマ,2020/07/03
イエス・キリストが礫にされた時にその釘を引き抜こうとしたという伝承があり、その嘴の形状は物事が食い違って思うようにならないことの喩えに使われる鳥は何でしょう？,イスカ,イスカ,2020/07/03
ウェブブラウザ「Google Chrome」のアイコンにおいて、真ん中の丸の色は何色でしょう？,青,あお,2020/07/03
クマリ寺が位置することから「カニヤー・クマリ」とも呼ばれ、ベンガル湾、アラビア海、インド洋を一望することができる、インド最南端の岬は何でしょう？,コモリン岬,コモリン,2020/07/03
ケンブリッジ大学にはこれを描いたステンドグラスがある、数学において集合の包含関係を視覚的に捉えるために用いる図のことを、考案したイギリスの数学者の名前から「何図」というでしょう？,ベン図,ベン,2020/07/03
ゴルフで、ラウンドが終わったあと、マーカーがスコアに誤りがないかを確認してサインをすることを何というでしょう？,アテスト,アテスト,2020/07/03
その名はフランスとスイスの国境にある山脈に由来する、中生代2番目の地質時代であり、恐竜が繁栄し始祖鳥が出現した時代を「何紀」というでしょう？,ジュラ紀,ジュラ,2020/07/03
ディスカウントチェーン・ウォルマートのかつての俗称に由来するという説がある、ボウリングにおいて、5・7番ピンもしくは5・10番ピンが残ったスプリットを指す呼び名は何でしょう？,ダイムストア,ダイムストア,2020/07/03
ナイアガラの滝において、アメリカ滝とカナダ滝を分けている島の名前は何でしょう？,ゴート島,ゴート,2020/07/03
フィギュアスケートの6種類のジャンプで唯一前向きに踏み切って跳ぶ、最も難易度が高いとされるジャンプを何ジャンプというでしょう？,アクセルジャンプ,アクセル,2020/07/03
フランス語で「白い食べ物」という意味の言葉に由来する、すり潰したアーモンドに牛乳や砂糖を加え、ゼラチンで冷やして固めたお菓子を何というでしょう？,ブラン・マンジェ,ブランマンジェ,2020/07/03
マラッカ海峡やスンダ海峡よりも水深が深いことから大型船の航路としてよく用いられる、動物分布境界線の「ウォーレス線」が通っていることでも知られる小スンダ列島にある海峡は何でしょう？,ロンボク海峡,ロンボク,2020/07/03
ランプやガス灯などにおいて、火を覆うガラスの筒のことを何というでしょう？,火屋,ほや,2020/07/03
愛知県の市で、「世界最古の海水浴場」といわれる大野海水浴場や、中部国際空港・セントレアが位置するのは何市でしょう？,常滑市,とこなめ,2020/07/03
安産を祈って、妊婦さんが妊娠5ヶ月目の戌の日からお腹に巻く白地の布を何というでしょう？,岩田帯,いわたおび,2020/07/03
一般社団法人自転車協会が定めた「自転車安全基準」に適合した自転車に貼付されるマークのことを、アルファベット3文字で「何マーク」というでしょう？,BAAマーク,BAA,2020/07/03
英語では「パウダリー・ミルデュー」と呼ばれる、植物の葉っぱや茎が粉をまぶしたように白くなってしまう病気を何というでしょう？,うどんこ病,うどんこ,2020/07/03
歌舞伎などで、亡くなった俳優の冥福を祈るために催す興行のことを、特に「何興行」というでしょう？,追善興行,ついぜん,2020/07/03
乾いた音を出す「セコ」や、こもった音を出す「ソルド」などの打ち方がある、フラメンコで鳴らされる手拍子のことを何というでしょう？,パルマ,パルマ,2020/07/03
京都府に本部を置く3つの国立大学とは、京都大学、京都工芸繊維大学とあと1つは何大学でしょう？,京都教育大学,きょうときょういく,2020/07/03
山形県に位置し「出羽三山」と総称される山のうち、標高が414mと、他の2つと比べ圧倒的に低い山は何でしょう？,羽黒山,はぐろさん,2020/07/03
主なブランドに「イタリアンフルーツ」や「ベッキオホワイト」などがある、イタリアを代表する陶磁器メーカーは何でしょう？,リチャード＝ジノリ,リチャードジノリ,2020/07/03
数学において、ある関数を微分して得られる関数を一般に何関数というでしょう？,導関数,どう,2020/07/03
数学において、微分するとある関数と等しくなるような関数を一般に何関数というでしょう？,原始関数,げんし,2020/07/03
代表作に、夏目漱石が『吾輩は猫である』を執筆する際に着想を得たとされる『牡猫ムルの人生観』や、チャイコフスキーのバレエ作品の原作となった『くるみ割り人形とねずみの王様』があるドイツの作家は誰でしょう？,E.T.A.ホフマン,ホフマン,2020/07/03
代表作に主題歌の『リンゴの唄』が大ヒットした『そよかぜ』や、大坂志郎と幾野道子が演じたキスシーンが当時話題となった『はたちの青春』などがある、昭和期に活躍した映画監督は誰でしょう？,佐々木康,ささきやすし,2020/07/03
湯が冷めないように低く作ってある、江戸時代の銭湯における洗い場から湯船への出入り口のことを、かつて鏡磨きに必要とされたある植物の名前を使って「何口」というでしょう？,ざくろ口,ざくろ,2020/07/03
奈良女子大学が持つ3つの学部とは、文学部、理学部と何でしょう？,生活環境学部,せいかつかんきょう,2020/07/03
日本に生息するキツネを2つの亜種に分けると、ホンドギツネと何でしょう？,キタキツネ,キタキツネ,2020/07/03
日本の刑法で定められた7つの刑罰のうち、唯ーの付加刑は何でしょう？,没収,ぼっしゅう,2020/07/03
日本語では「私有ソフトウェア」などとも呼ばれる、ソフトウェアの中でも特に、開発企業が仕様や規格、ソースコードなどを独占的に保持し、一般に公開しない形のもののことを英語で何ソフトウェアというでしょう？,プロプライエタリ・ソフトウェア,プロプライエタリ,2020/07/03
日本住宅公団を前身とする独立行政法人「都市再生機構」のことを、アルファベット2文字を用いた愛称で「何都市機構」というでしょう？,UR都市機様,UR,2020/07/03
野口雨情作詩の童謡『黄金虫』で、黄金虫が買って子供になめさせたと歌われているものは何でしょう？,水飴,みずあめ,2020/07/03
令丈ヒロ子の『若おかみは小学生！』やはやみねかおるの『名探偵夢水清志郎事件ノート』などのシリーズが人気の、講談社が出版する児童書レーベルは何でしょう？,青い鳥文庫,あおいとり,2020/07/03
「インドの華」や「ウィーンの薔薇」などの商品シリーズがある、1826年にハンガリーで創業した磁器メーカーは何でしょう？,ヘレンド,ヘレンド,2020/07/02
『カラスと水差し』『すっぱい葡萄』『北風と太陽』などの話がある、ある古代ギリシャの作家が作ったと伝えられる寓話集は「何寓話」でしょう？,イッソプ寓話,イッソプ,2020/07/02
